id,name,category,severity,avoid_foods,recommended_foods
1,Type 2 Diabetes Mellitus,Metabolic,High,"Sugary drinks,candy,white bread,pastries,sweetened
cereals","Leafy greens,legumes,whole grains,berries,fatty fish"
2,Type 1 Diabetes Mellitus,Metabolic,High,"Sugary drinks,fruit juice,white rice,refined
snacks","Non-starchy vegetables,lean protein,whole grains,nuts"
3,Prediabetes,Metabolic,Medium,"Sugary snacks,white bread,sweetened beverages","Whole
grains,legumes,vegetables,nuts"
4,Metabolic Syndrome,Metabolic,High,"Fried foods,sugary drinks,refined carbs,processed meats","Olive
oil,fatty fish,vegetables,whole grains"
5,Obesity,Metabolic,Medium,"Fast food,sugary beverages,fried foods,refined snacks","High-fiber
vegetables,lean protein,legumes,fruit"
6,Insulin Resistance,Metabolic,Medium,"Refined sugar,white bread,sweetened cereals","Whole grains,leafy
greens,legumes,nuts"
7,Hypoglycemia,Metabolic,Medium,"Alcohol,sugary snacks alone,high-glycemic foods without protein","Complex
carbohydrates,whole-grain crackers with cheese,nut butter"
8,Gout,Metabolic,Medium,"Red meat,organ meats,shellfish,beer,sugary drinks","Low-fat dairy,cherries,whole
grains,vegetables"
9,Hyperlipidemia,Metabolic,Medium,"Fried food,fatty red meat,butter,full-fat dairy","Oats,fatty
fish,nuts,olive oil"
10,Hypertriglyceridemia,Metabolic,Medium,"Sugary drinks,refined carbs,alcohol,fried food","Fatty fish,whole
grains,leafy greens,nuts"
11,Hypertension,Cardiovascular,High,"Table salt,processed meats,canned soups,pickles","Bananas,leafy
greens,oats,low-fat dairy"
12,Coronary Artery Disease,Cardiovascular,High,"Fried food,trans fats,red meat,full-fat dairy","Fatty
fish,olive oil,whole grains,nuts"
13,Congestive Heart Failure,Cardiovascular,Critical,"High-sodium foods,processed meats,canned soups,salted
snacks","Fresh vegetables,low-sodium lean protein,whole grains"
14,Atrial Fibrillation,Cardiovascular,High,"Excess alcohol,caffeine,energy drinks","Leafy greens in
consistent amounts,lean protein,whole grains"
15,High Cholesterol (Hyperlipidemia LDL),Cardiovascular,Medium,"Fried foods,red
meat,butter,pastries","Oats,nuts,fatty fish,olive oil"
16,Peripheral Artery Disease,Cardiovascular,High,"Fried foods,processed meats,full-fat dairy","Leafy
greens,fatty fish,whole grains"
17,Stroke Recovery,Cardiovascular,Critical,"High-sodium foods,fried foods,sugary
drinks","Fruits,vegetables,whole grains,fatty fish"
